,a,b,c,failure,p_a,p_b,p_c,p_failure,p_seed,p_success,seed,success
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10000.0,0.0
1,3000.0,0.0,0.0,6700.0,0.3,0.0,0.0,0.67,0.0,0.03,0.0,300.0
2,1200.0,600.0,0.0,7600.0,0.12,0.06,0.0,0.76,0.0,0.06,0.0,600.0
3,480.0,420.0,180.0,8080.0,0.048,0.042,0.018,0.808,0.0,0.084,0.0,840.0
4,192.0,222.0,180.0,8380.0,0.0192,0.0222,0.018,0.838,0.0,0.1026,0.0,1026.0
5,76.80000000000001,105.0,120.6,8554.0,0.007680000000000001,0.0105,0.01206,0.8554,0.0,0.11436000000000002,0.0,1143.6000000000001
6,30.720000000000006,46.86,67.68,8646.28,0.003072,0.004685999999999999,0.006768,0.864628,0.0,0.12084600000000001,0.0,1208.4600000000003
7,12.288000000000004,20.202,34.362,8691.94,0.0012288000000000004,0.0020202,0.0034362000000000004,0.869194,0.0,0.12412080000000003,0.0,1241.2080000000003
8,4.915200000000002,8.5182,16.3692,8713.411600000001,0.0004915200000000002,0.00085182,0.0016369199999999998,0.8713411600000002,0.0,0.12567858000000007,0.0,1256.7858000000006
9,1.966080000000001,3.5385000000000004,7.46622,8723.137480000001,0.00019660800000000003,0.0003538499999999999,0.0007466219999999997,0.8723137479999998,0.0,0.126389172,0.0,1263.8917200000005
10,0.7864320000000005,1.4547660000000002,3.3014159999999997,8727.421492000003,7.86432e-05,0.00014547659999999995,0.00033014159999999977,0.8727421491999998,0.0,0.12670358939999996,0.0,1267.0358940000003
11,0.3145728000000002,0.5937162000000001,1.4268546,8729.268941200002,3.145728000000001e-05,5.937162e-05,0.00014268545999999998,0.87292689412,0.0,0.12683959152000002,0.0,1268.3959152000004
12,0.1258291200000001,0.2410294200000001,0.60617124,8730.052798120001,1.2582912000000007e-05,2.4102942000000008e-05,6.061712399999999e-05,0.8730052798119999,0.0,0.12689741721000003,0.0,1268.9741721000005
13,0.05033164800000004,0.09747465000000005,0.254160198,8730.381221236003,5.033164800000003e-06,9.747465000000004e-06,2.5416019799999997e-05,0.8730381221236001,0.0,0.12692168122680003,0.0,1269.2168122680005
14,0.020132659200000017,0.039308724600000025,0.10549045440000002,8730.517479739603,2.013265920000001e-06,3.930872460000002e-06,1.0549045439999999e-05,0.8730517479739601,0.0,0.12693175884222002,0.0,1269.3175884222005
15,0.008053063680000007,0.01581914922000001,0.043439753700000014,8730.573577464042,8.053063680000006e-07,1.5819149220000006e-06,4.3439753700000005e-06,0.873057357746404,0.0,0.12693591105693605,0.0,1269.3591105693606
16,0.0032212254720000028,0.006356357502000004,0.017777670876000004,8730.596533114469,3.2212254720000026e-07,6.356357502000004e-07,1.7777670876000003e-06,0.8730596533114469,0.0,0.12693761116316826,0.0,1269.3761116316825
